source_id,distance_to_subway,id
316425050,4.539016,316425050
314529371,-1.0,314529371
316458842,1.209867,316458842
316429616,0.919123,316429616
314530231,0.754419,314530231
316465229,1.13043,316465229
316429624,3.540263,316429624
314552822,0.344668,314552822
316432129,1.501638,316432129
316467526,3.027218,316467526
314587791,1.153755,314587791
316467875,0.506323,316467875
314587793,1.242503,314587793
316433363,1.861937,316433363
316469196,2.379993,316469196
313065506,5.518808,313065506
314587798,0.813321,314587798
316434807,7.819747,316434807
316469209,0.614267,316469209
313068294,4.975555,313068294
314587991,1.207208,314587991
316434812,5.356808,316434812
316469958,2.564688,316469958
313068297,4.975555,313068297
314589776,1.159503,314589776
316434815,0.584569,316434815
316473215,0.508202,316473215
313068299,4.975555,313068299
314591010,-1.0,314591010
316476607,3.44138,316476607
316434820,4.300877,316434820
313068300,4.975555,313068300
314599865,1.083183,314599865
316484527,0.333291,316484527
313071636,4.975555,313071636
314604094,1.951771,314604094
316484532,1.196194,316484532
316469178,3.941747,316469178
313071638,4.975555,313071638
314620690,1.178804,314620690
316486594,3.86582,316486594
313071641,4.975555,313071641
316469308,3.857138,316469308
316487445,1.94822,316487445
314621410,2.200974,314621410
313071642,4.975555,313071642
316472486,1.36168,316472486
314634391,0.902054,314634391
316491341,0.653488,316491341
316473544,4.221759,316473544
313071644,4.975555,313071644
314697501,2.456252,314697501
316482171,2.261257,316482171
316491888,0.910049,316491888
313071745,2.920549,313071745
314699786,0.570421,314699786
316484937,3.123177,316484937
316497678,5.377697,316497678
313074770,1.361811,313074770
314700286,1.115213,314700286
316511078,0.620726,316511078
313083752,2.825349,313083752
316487184,4.904992,316487184
313083755,4.382431,313083755
314716243,0.928714,314716243
316490821,2.825349,316490821
316537066,2.435009,316537066
313085862,0.491902,313085862
314716248,1.309059,314716248
316537290,0.484002,316537290
313089322,1.849545,313089322
314716525,1.621938,314716525
316564497,8.670648,316564497
313090172,1.114597,313090172
314717355,1.08594,314717355
316564511,3.831242,316564511
316491871,6.710438,316491871
313112063,0.383685,313112063
314722212,6.667364,314722212
316565543,1.605944,316565543
316492839,4.229153,316492839
313147238,1.237546,313147238
314722584,-1.0,314722584
316565754,-1.0,316565754
316495464,1.220081,316495464
313148481,4.912172,313148481
314727047,4.3043,314727047
316565971,0.8045,316565971
316495471,5.012289,316495471
313167105,0.509875,313167105
314729277,2.281115,314729277
316500449,3.33209,316500449
316567807,2.061395,316567807
314739859,-1.0,314739859
313177301,1.11226,313177301
316570589,4.208795,316570589
316515498,0.832616,316515498
314741846,5.105292,314741846
313185836,4.795824,313185836
316515501,3.691205,316515501
314763977,0.525539,314763977
313209615,1.316973,313209615
316571346,0.769062,316571346
316516466,0.393175,316516466
314793636,6.997871,314793636
313221304,4.432502,313221304
316522784,2.476115,316522784
316574361,5.339024,316574361
314810218,4.523397,314810218
317879446,8.205091,317879446
313225672,1.157646,313225672
316537098,1.115044,316537098
316582620,1.541919,316582620
314818363,1.686376,314818363
316559941,2.057336,316559941
317893823,1.455965,317893823
316582942,3.947732,316582942
313229487,0.641962,313229487
314820812,6.95691,314820812
316561040,0.840447,316561040
317894027,0.293912,317894027
313233333,2.710556,313233333
314825549,-1.0,314825549
316585261,0.410553,316585261
316563253,0.746555,316563253
313234964,2.683942,313234964
314840899,0.344668,314840899
316585262,0.367278,316585262
316563671,0.94719,316563671
317257486,0.507317,317257486
314854412,2.361167,314854412
313239953,1.351323,313239953
316585430,0.39833,316585430
317900474,1.248849,317900474
316564875,2.290164,316564875
317270309,-1.0,317270309
313246541,3.845588,313246541
314868660,0.626046,314868660
316587666,-1.0,316587666
317901460,0.76721,317901460
316565933,3.579153,316565933
317272408,3.501398,317272408
313269944,1.526074,313269944
316587764,3.633441,316587764
314868661,1.869109,314868661
317903334,5.286053,317903334
316568562,1.723942,316568562
317280717,9.466644,317280717
313270535,2.766729,313270535
317906054,0.514674,317906054
316591283,4.134171,316591283
317281834,2.374767,317281834
314870649,1.384702,314870649
313272855,1.601181,313272855
316569738,1.139692,316569738
316593675,0.595027,316593675
317281835,2.314909,317281835
316821461,6.667364,316821461
317906771,5.269454,317906771
313276304,1.660221,313276304
314877073,-1.0,314877073
316573775,0.922419,316573775
316593712,2.360067,316593712
316826106,2.536919,316826106
317908854,4.695571,317908854
317282251,0.556146,317282251
316573831,1.297956,316573831
313284888,8.191655,313284888
314883729,4.344148,314883729
316594638,-1.0,316594638
316832466,2.346782,316832466
314894612,7.787964,314894612
317908872,2.213165,317908872
317285247,0.803779,317285247
316574189,2.315497,316574189
313293520,2.855675,313293520
316837835,0.525871,316837835
317291366,0.734689,317291366
314900780,2.596612,314900780
317908908,0.270182,317908908
316579377,3.199595,316579377
316862373,1.042863,316862373
313296609,3.455022,313296609
316615291,2.559571,316615291
316593154,6.519868,316593154
314903837,0.780134,314903837
316617685,2.559571,316617685
