source_id,distance_to_subway,lat,lng,id
314803788,3.352077,56.298352,44.04041,314803788
314810619,1.080136,56.23406,43.867861,314810619
314823004,3.921614,56.294676,44.047129,314823004
314824239,5.32086,56.362237,43.826413,314824239
314824251,1.941603,56.269746,43.879531,314824251
314827349,2.166647,56.260493,43.846805,314827349
314830791,2.057741,56.29561,43.988002,314830791
314836398,1.772453,56.346691,43.929648,314836398
314837037,1.623785,56.315945,43.892709,314837037
314838992,1.544109,56.269311,43.888999,314838992
314839104,2.352474,56.322624,44.028462,314839104
314845506,0.091369,56.314382,43.994955,314845506
314850615,5.049399,56.291499,44.064952,314850615
314857043,0.731385,56.341513,43.945979,314857043
314882752,1.464163,56.265042,43.881228,314882752
314882759,3.544368,56.328164,43.83828,314882759
314883012,4.079522,56.361908,43.853713,314883012
314883666,6.524316,56.362516,43.803416,314883666
314884656,1.115044,56.232203,43.854863,314884656
314885951,2.825349,56.320787,44.037814,314885951
314886256,1.772453,56.346691,43.929648,314886256
314888011,1.472101,56.303561,43.978866,314888011
314889743,0.868064,56.337471,43.936133,314889743
314890241,4.499805,56.306318,43.840634,314890241
314890256,5.637288,56.272235,44.045917,314890256
314890265,1.314706,56.325544,43.99182,314890265
314894553,0.574121,56.312794,43.928848,314894553
314896501,1.294853,56.335021,43.924788,314896501
314897369,1.471877,56.232163,43.873745,314897369
314897533,6.640571,56.368524,43.808222,314897533
314900182,0.452227,56.287477,43.933816,314900182
314900543,0.767409,56.238142,43.868194,314900543
314901024,0.719905,56.332202,43.883357,314901024
314906514,6.718843,56.361,43.798341,314906514
314914756,0.357964,56.316184,43.997794,314914756
314918923,2.261257,56.30858,44.029235,314918923
314920660,1.998313,56.328504,44.012427,314920660
314921319,5.851074,56.263107,44.018841,314921319
314931612,0.393838,56.279427,43.917969,314931612
314932015,1.610869,56.264717,43.875219,314932015
314934121,0.872088,56.306393,43.99853,314934121
314940352,4.332415,56.20853,43.822586,314940352
314940355,1.832802,56.226064,43.864969,314940355
314942446,0.91583,56.243785,43.843571,314942446
314944779,5.455606,56.275864,44.049698,314944779
314944926,1.861937,56.238427,43.828704,314944926
314948124,5.669916,56.284464,44.068788,314948124
314952372,5.702486,56.264547,44.019192,314952372
314972536,1.326578,56.324476,43.984427,314972536
314972864,1.147129,56.252357,43.857306,314972864
314981723,1.430891,56.314397,43.901342,314981723
314981773,1.594388,56.341742,43.915607,314981773
314995483,1.154401,56.343743,43.938864,314995483
315004959,0.734882,56.341857,43.949824,315004959
315005684,3.874161,56.358567,43.851844,315005684
315007963,6.857513,56.368275,43.803596,315007963
315012180,2.339666,56.262512,43.849338,315012180
315016297,1.220081,56.290165,43.949752,315016297
315026722,1.129096,56.335276,43.931336,315026722
315029984,0.468983,56.276893,43.92892,315029984
315030747,0.542567,56.340121,43.950156,315030747
315030766,5.891922,56.263057,44.020934,315030766
315030768,3.609469,56.281216,43.986888,315030768
315030936,4.339043,56.240138,43.965041,315030936
315034531,1.473318,56.338744,43.926611,315034531
315034533,5.702486,56.264547,44.019192,315034533
315034545,0.256618,56.311571,43.992835,315034545
315034769,4.62853,56.287242,43.848125,315034769
315034919,2.21531,56.318541,43.870745,315034919
315046368,3.697159,56.265197,43.977537,315046368
315046793,0.461596,56.310857,43.999186,315046793
